,8801.T,8802.T,8804.T,8830.T,3003.T,8931.T,8934.T,3289.T,8951.T,8952.T,8953.T,8954.T,8955.T,8956.T,8957.T,8958.T,8960.T,8961.T,"('8801.T', '8801.T')","('8802.T', '8802.T')","('8804.T', '8804.T')","('8830.T', '8830.T')","('3003.T', '3003.T')","('8931.T', '8931.T')","('8934.T', '8934.T')","('3289.T', '3289.T')","('8951.T', '8951.T')","('8952.T', '8952.T')","('8953.T', '8953.T')","('8954.T', '8954.T')","('8955.T', '8955.T')","('8956.T', '8956.T')","('8957.T', '8957.T')","('8958.T', '8958.T')","('8960.T', '8960.T')","('8961.T', '8961.T')","('8801.T', '8801.T').1","('8802.T', '8802.T').1","('8804.T', '8804.T').1","('8830.T', '8830.T').1","('3003.T', '3003.T').1","('8931.T', '8931.T').1","('8934.T', '8934.T').1","('3289.T', '3289.T').1","('8951.T', '8951.T').1","('8952.T', '8952.T').1","('8953.T', '8953.T').1","('8954.T', '8954.T').1","('8955.T', '8955.T').1","('8956.T', '8956.T').1","('8957.T', '8957.T').1","('8958.T', '8958.T').1","('8960.T', '8960.T').1","('8961.T', '8961.T').1"
2021-04-05,746.3140869140625,1775.653076171875,1451.8345947265625,1784.929443359375,1087.227294921875,611.7299194335938,819.5293579101562,553.4534912109375,110191.453125,105021.75,88249.609375,78151.84375,83181.921875,127949.9609375,151820.828125,94273.3671875,126427.3984375,61879.94921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,737.7838745117188,1759.6396484375,1409.994873046875,1772.7615966796875,1064.8359375,612.5142822265625,812.0106811523438,545.7667236328125,108040.5703125,103388.4453125,87856.0078125,77549.4375,83080.4921875,127555.28125,150686.046875,94967.6953125,125552.7265625,61485.05078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,746.0147705078125,1784.8035888671875,1423.383544921875,1804.585205078125,1087.227294921875,615.6513061523438,817.0230712890625,556.0158081054688,109364.203125,104041.75,90296.4453125,78633.78125,84196.34375,129212.8828125,150767.078125,97050.6640625,128971.84375,61524.54296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,734.6411743164062,1765.5872802734375,1395.7694091796875,1762.933837890625,1059.85986328125,611.7299194335938,797.808837890625,542.350341796875,113169.609375,105838.3984375,90296.4453125,79155.84375,84399.21875,128897.1484375,148659.578125,96124.8828125,125950.3125,61011.1796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,729.5530395507812,1743.1689453125,1408.321533203125,1776.0374755859375,1066.4945068359375,611.7299194335938,792.7965087890625,547.474853515625,116313.1953125,107961.703125,90375.1640625,80079.5390625,84906.421875,129370.7265625,149226.984375,98747.8828125,127461.078125,60892.71875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,737.1852416992188,1759.6396484375,1427.5673828125,1776.0374755859375,1073.9583740234375,619.5728149414062,800.3150634765625,546.6207885742188,114327.765625,107308.359375,88564.515625,79396.8203125,84703.5546875,129686.4453125,149145.921875,98979.3203125,127222.53125,60418.84375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,736.2874145507812,1754.1494140625,1415.015869140625,1772.2935791015625,1059.0306396484375,617.2199096679688,791.125732421875,540.64208984375,113500.515625,105838.3984375,88013.453125,78553.453125,85109.3203125,128660.3203125,147686.921875,99210.765625,127540.546875,59944.9765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,732.5460815429688,1739.9661865234375,1382.3807373046875,1735.322021484375,1061.5184326171875,621.9254760742188,792.7965087890625,522.7061157226562,116147.75,109595.0078125,86990.03125,79758.2578125,87138.1484375,130081.1484375,148011.125,98747.8828125,128733.3203125,60102.9296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,738.6818237304688,1742.711181640625,1402.4637451171875,1752.169921875,1067.3238525390625,631.3367309570312,801.150390625,531.2470092773438,114493.234375,109268.3515625,85258.1171875,79196.0234375,85515.09375,129291.7890625,148092.171875,97513.5390625,127302.0390625,60734.76171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,751.5518188476562,1744.083984375,1427.5673828125,1757.3179931640625,1088.8858642578125,637.6109008789062,791.9611206054688,532.10107421875,116809.5546875,110248.328125,86281.5234375,79918.8984375,87341.0234375,132054.4375,149470.171875,99210.765625,126824.9609375,61564.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19,738.6818237304688,1714.8023681640625,1399.11669921875,1747.4898681640625,1083.0806884765625,634.473876953125,798.644287109375,515.873291015625,114658.671875,109431.6796875,84864.484375,78553.453125,87442.46875,130870.453125,148011.125,99056.46875,125711.75,61090.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20,715.0366821289062,1678.6578369140625,1350.5826416015625,1692.2666015625,1073.9583740234375,630.5524291992188,794.46728515625,501.3536376953125,113169.609375,108615.015625,82424.046875,78714.09375,87138.1484375,130791.5234375,146389.96875,97744.984375,125075.625,60497.82421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-21,690.9428100585938,1645.7161865234375,1313.7637939453125,1653.89111328125,1035.8099365234375,618.0040893554688,771.0760498046875,485.12591552734375,113831.421875,108941.671875,81243.1796875,77107.6953125,86529.4921875,130870.453125,146227.828125,97127.8046875,123962.4453125,60379.34765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-22,703.21435546875,1657.154296875,1336.357177734375,1667.4630126953125,1054.0546875,625.0624389648438,776.0884399414062,491.9586486816406,115651.3984375,110901.6484375,81007.015625,77870.734375,87848.234375,132291.25,146633.140625,97513.5390625,126268.359375,60695.2578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,715.7850341796875,1656.2391357421875,1344.72509765625,1703.9666748046875,1057.3719482421875,632.9053344726562,781.100830078125,493.6669006347656,117471.359375,111228.3046875,81479.3515625,76304.46875,87746.796875,133396.3125,149145.921875,96973.5078125,127858.65625,61011.1796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26,718.0298461914062,1665.3897705078125,1352.2562255859375,1720.3463134765625,1049.9083251953125,632.9053344726562,789.4549560546875,503.916015625,117636.828125,110574.9921875,83526.171875,76344.6328125,88659.7578125,132764.84375,148740.640625,97282.09375,129289.921875,61050.67578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27,708.1527099609375,1644.3433837890625,1323.8052978515625,1686.6507568359375,1003.4666137695312,628.9839477539062,794.46728515625,504.77001953125,116478.65625,109595.0078125,83998.515625,77188.0078125,88355.4375,132606.96875,151253.421875,96742.078125,130880.171875,61485.05078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28,714.8872680664062,1652.578857421875,1349.745849609375,1703.030517578125,1014.2476806640624,625.8469848632812,797.808837890625,532.10107421875,118795.0,110738.3359375,85730.46875,77067.515625,89572.734375,130604.625,149956.5,96587.7734375,130959.6796875,61287.61328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,709.3499755859375,1642.970947265625,1349.745849609375,1703.030517578125,1031.6632080078125,624.2783203125,796.1380004882812,518.4356689453125,118795.0,110738.3359375,84785.765625,77428.96875,90181.390625,131170.71875,150523.90625,97590.6875,129926.0,62195.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06,727.4578247070312,1674.5401611328125,1371.50244140625,1744.2138671875,1044.1029052734375,624.2783203125,817.0230712890625,534.6634521484375,116644.1171875,112861.6171875,85730.46875,78352.6640625,88964.09375,129795.9375,151334.46875,97282.09375,133265.609375,62314.33984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,735.5391235351562,1685.063232421875,1414.1788330078125,1772.7615966796875,1050.7374267578125,629.7682495117188,837.0728149414062,542.350341796875,115982.296875,111718.3046875,85809.171875,77428.96875,88051.1171875,129553.3359375,150523.90625,96510.6171875,131198.25,61800.97265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10,752.7489624023438,1713.4296875,1445.1402587890625,1831.2607421875,1050.7374267578125,630.5524291992188,855.4515991210938,549.1830444335938,115982.296875,110901.6484375,87226.2109375,76987.203125,87442.46875,128502.015625,149551.21875,96202.046875,130880.171875,61603.5234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11,732.69580078125,1672.7099609375,1414.1788330078125,1784.929443359375,1015.9063720703124,626.6311645507812,835.4019165039062,533.8094482421875,116313.1953125,111554.984375,85966.6171875,77910.890625,87341.0234375,128987.234375,151658.734375,96433.484375,130164.546875,62116.890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,719.5263061523438,1650.291259765625,1365.64501953125,1708.6463623046875,974.4408569335938,620.3569946289062,855.4515991210938,515.0191650390625,115155.03125,109105.0078125,85887.90625,76987.203125,86630.921875,128502.015625,151658.734375,94967.6953125,130721.1484375,61524.54296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
