,8058.T,8031.T,8053.T,8002.T,8001.T,8015.T,8008.T,8016.T,7433.T,9768.T,"('8058.T', '8058.T')","('8031.T', '8031.T')","('8053.T', '8053.T')","('8002.T', '8002.T')","('8001.T', '8001.T')","('8015.T', '8015.T')","('8008.T', '8008.T')","('8016.T', '8016.T')","('7433.T', '7433.T')","('9768.T', '9768.T')","('8058.T', '8058.T').1","('8031.T', '8031.T').1","('8053.T', '8053.T').1","('8002.T', '8002.T').1","('8001.T', '8001.T').1","('8015.T', '8015.T').1","('8008.T', '8008.T').1","('8016.T', '8016.T').1","('7433.T', '7433.T').1","('9768.T', '9768.T').1"
2021-04-05,887.7881469726562,992.318359375,1272.1043701171875,758.0182495117188,621.9307861328125,1343.892578125,1545.685791015625,254.1164703369141,966.2163696289062,1550.4014892578125,,,,,,,,,,,,,,,,,,,,
2021-04-06,877.8607788085938,991.2528686523438,1266.8709716796875,740.9895629882812,615.3256225585938,1322.6285400390625,1531.3814697265625,253.3045959472656,958.79541015625,1516.157470703125,,,,,,,,,,,,,,,,,,,,
2021-04-07,882.9661254882812,998.499267578125,1272.1043701171875,755.5621337890625,624.0167236328125,1369.4095458984375,1545.685791015625,255.740234375,979.5740966796876,1550.4014892578125,,,,,,,,,,,,,,,,,,,,
2021-04-08,869.6353149414062,980.8096313476562,1251.1708984375,740.3345947265625,614.10888671875,1352.3983154296875,1504.3616943359375,247.62144470214844,968.4426879882812,1525.5745849609375,,,,,,,,,,,,,,,,,,,,
2021-04-09,863.9624633789062,976.1207885742188,1243.5223388671875,746.0654296875,607.503662109375,1362.321533203125,1502.772216796875,237.8789825439453,961.0216064453124,1528.142822265625,,,,,,,,,,,,,,,,,,,,
2021-04-12,870.20263671875,977.399658203125,1245.1324462890625,746.4747314453125,606.1132202148438,1363.7391357421875,1509.924560546875,245.1858825683593,964.7322387695312,1548.6893310546875,,,,,,,,,,,,,,,,,,,,
2021-04-13,869.0679931640625,981.6619262695312,1250.365966796875,750.0769653320312,604.2010498046875,1380.75048828125,1534.560302734375,248.433349609375,968.4426879882812,1591.49462890625,,,,,,,,,,,,,,,,,,,,
2021-04-14,859.7079467773438,973.1370849609376,1234.6658935546875,732.0660400390625,604.3748779296875,1359.486328125,1530.5865478515625,245.9977264404297,962.505859375,1600.055419921875,,,,,,,,,,,,,,,,,,,,
2021-04-15,863.1116333007812,980.3834838867188,1250.365966796875,742.5451049804688,601.94140625,1360.9039306640625,1555.22216796875,251.6808013916016,973.6373291015624,1673.6802978515625,,,,,,,,,,,,,,,,,,,,
2021-04-16,869.9188842773438,983.79345703125,1247.950439453125,749.7495727539062,605.4178466796875,1360.9039306640625,1561.5797119140625,254.1164703369141,971.4108276367188,1594.9189453125,,,,,,,,,,,,,,,,,,,,
2021-04-19,867.08251953125,984.6460571289062,1242.717041015625,752.8604125976562,605.2440185546875,1370.8271484375,1548.0699462890625,246.8095703125,972.8952026367188,1635.15576171875,,,,,,,,,,,,,,,,,,,,
