,9983.T,8267.T,3382.T,2802.T,2503.T,2502.T,2914.T,7974.T,9697.T,4911.T,8113.T,2282.T,2281.T,2269.T,3086.T,3099.T,7550.T,4755.T,"('9983.T', '9983.T')","('8267.T', '8267.T')","('3382.T', '3382.T')","('2802.T', '2802.T')","('2503.T', '2503.T')","('2502.T', '2502.T')","('2914.T', '2914.T')","('7974.T', '7974.T')","('9697.T', '9697.T')","('4911.T', '4911.T')","('8113.T', '8113.T')","('2282.T', '2282.T')","('2281.T', '2281.T')","('2269.T', '2269.T')","('3086.T', '3086.T')","('3099.T', '3099.T')","('7550.T', '7550.T')","('4755.T', '4755.T')","('9983.T', '9983.T').1","('8267.T', '8267.T').1","('3382.T', '3382.T').1","('2802.T', '2802.T').1","('2503.T', '2503.T').1","('2502.T', '2502.T').1","('2914.T', '2914.T').1","('7974.T', '7974.T').1","('9697.T', '9697.T').1","('4911.T', '4911.T').1","('8113.T', '8113.T').1","('2282.T', '2282.T').1","('2281.T', '2281.T').1","('2269.T', '2269.T').1","('3086.T', '3086.T').1","('3099.T', '3099.T').1","('7550.T', '7550.T').1","('4755.T', '4755.T').1"
2021-04-05,29498.69140625,1039.095703125,1374.345703125,1061.0474853515625,1785.73876953125,1356.018310546875,1573.6484375,5579.78662109375,1733.978759765625,7240.0439453125,1486.3028564453125,4251.70947265625,2983.572021484375,3071.649658203125,909.7482299804688,710.6639404296875,2856.2890625,1312.5579833984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,29055.89453125,1030.6453857421875,1344.1602783203125,1040.2745361328125,1771.3443603515625,1339.2882080078125,1559.349365234375,5612.380859375,1712.861328125,7143.1591796875,1466.67529296875,4260.53955078125,2962.04541015625,3041.1513671875,906.2457885742188,705.1550903320312,2863.0302734375,1281.91845703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,28507.970703125,1025.3248291015625,1369.81787109375,1040.2745361328125,1769.6507568359375,1386.8367919921875,1571.7669677734375,5620.30859375,1755.0963134765625,7038.74853515625,1475.2227783203125,4366.5009765625,3035.235595703125,3036.794189453125,895.7386474609375,695.9732666015625,2893.846435546875,1299.709228515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,28982.623046875,998.4083251953124,1335.40625,1032.1055908203125,1732.818603515625,1379.79248046875,1542.0401611328125,5704.8779296875,1764.4815673828125,7076.37451171875,1453.0626220703125,4287.02978515625,3009.403564453125,3010.652587890625,880.8534545898438,678.528076171875,2801.397705078125,1292.79052734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,27998.2734375,1005.2938232421876,1301.5986328125,1036.3067626953125,1735.7818603515625,1396.2293701171875,1561.9833984375,5712.8056640625,1771.52099609375,7038.74853515625,1445.465087890625,4362.08642578125,3026.624755859375,3023.7236328125,885.2315063476562,673.937255859375,2832.2138671875,1303.6627197265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,27813.51171875,964.2935180664062,1317.8990478515625,1038.6407470703125,1730.70166015625,1406.502197265625,1572.895751953125,5696.94970703125,1741.0179443359375,7124.34765625,1457.1781005859375,4392.99169921875,3069.677734375,3036.794189453125,895.7386474609375,690.4642333984375,2811.990966796875,1304.651123046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,28899.802734375,975.5607299804688,1344.462158203125,1036.5401611328125,1718.847412109375,1387.423583984375,1566.1226806640625,5763.01904296875,1736.3251953125,7377.376953125,1437.8671875,4397.40625,3065.372314453125,3054.221923828125,931.63818359375,702.4005126953125,2782.1376953125,1290.8138427734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,28590.796875,984.9501953125,1338.7269287109375,1032.3387451171875,1719.6942138671875,1374.5093994140625,1565.3699951171875,5805.30322265625,1745.710693359375,7367.02978515625,1409.375732421875,4357.6708984375,3052.456787109375,3041.1513671875,862.4658203125,679.4462280273438,2744.579833984375,1353.081298828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,28606.724609375,992.4617309570312,1411.172119140625,1022.0692749023438,1738.322265625,1398.8707275390625,1569.1329345703125,5712.8056640625,1684.7047119140625,7427.2294921875,1401.778076171875,4392.99169921875,3052.456787109375,3023.7236328125,851.0830688476562,679.4462280273438,2746.505859375,1359.9998779296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,28743.703125,995.278564453125,1372.5345458984375,1030.9384765625,1760.76025390625,1399.164306640625,1572.143310546875,5730.4248046875,1680.0115966796875,7530.69970703125,1397.6627197265625,4397.40625,3048.15087890625,3010.652587890625,869.4706420898438,689.5462036132812,2790.8046875,1343.197509765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19,28460.1875,984.6373901367188,1369.214111328125,1026.2706298828125,1763.300537109375,1384.48876953125,1591.710693359375,5646.7373046875,1689.3975830078125,7219.3505859375,1387.2156982421875,4353.25537109375,2962.04541015625,2984.5107421875,851.9586181640625,673.937255859375,2728.208740234375,1355.05810546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
