,7203.T,7267.T,7201.T,7270.T,7269.T,7272.T,7211.T,7261.T,7240.T,7242.T,7259.T,6902.T,6113.T,7276.T,7282.T,5108.T,5101.T,7731.T,"('7203.T', '7203.T')","('7267.T', '7267.T')","('7201.T', '7201.T')","('7270.T', '7270.T')","('7269.T', '7269.T')","('7272.T', '7272.T')","('7211.T', '7211.T')","('7261.T', '7261.T')","('7240.T', '7240.T')","('7242.T', '7242.T')","('7259.T', '7259.T')","('6902.T', '6902.T')","('6113.T', '6113.T')","('7276.T', '7276.T')","('7282.T', '7282.T')","('5108.T', '5108.T')","('5101.T', '5101.T')","('7731.T', '7731.T')","('7203.T', '7203.T').1","('7267.T', '7267.T').1","('7201.T', '7201.T').1","('7270.T', '7270.T').1","('7269.T', '7269.T').1","('7272.T', '7272.T').1","('7211.T', '7211.T').1","('7261.T', '7261.T').1","('7240.T', '7240.T').1","('7242.T', '7242.T').1","('7259.T', '7259.T').1","('6902.T', '6902.T').1","('6113.T', '6113.T').1","('7276.T', '7276.T').1","('7282.T', '7282.T').1","('5108.T', '5108.T').1","('5101.T', '5101.T').1","('7731.T', '7731.T').1"
2021-04-05,1469.0213623046875,892.038818359375,555.5255126953125,1842.401611328125,1134.65673828125,758.509521484375,284.83172607421875,752.199462890625,1157.3564453125,1244.240478515625,1160.4569091796875,1622.821044921875,1034.935546875,3349.602294921875,2541.313232421875,1851.816650390625,1690.96630859375,919.2396240234376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,1452.5269775390625,867.5811157226562,535.5142822265625,1790.5380859375,1074.3338623046875,740.5025634765625,276.6153564453125,726.742919921875,1123.5250244140625,1219.8035888671875,1131.095947265625,1590.4659423828125,1010.80908203125,3281.612548828125,2487.90283203125,1834.600341796875,1688.3741455078125,914.0753784179688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,1473.5355224609375,875.9127807617188,543.2181396484375,1780.918212890625,1091.6654052734375,760.4488525390625,281.1800231933594,738.2394409179688,1147.9151611328125,1219.8035888671875,1136.6884765625,1597.72900390625,1015.8008422851562,3326.93896484375,2487.041259765625,1860.6348876953125,1712.56787109375,935.5932006835938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,1461.5555419921875,869.9998779296875,539.5540161132812,1775.8994140625,1074.5589599609375,770.9759521484375,277.5283203125,729.2063598632812,1143.1943359375,1200.6614990234375,1122.70703125,1579.90087890625,1028.280029296875,3286.1455078125,2481.010986328125,1842.57861328125,1706.5194091796875,910.6323852539062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,1461.5555419921875,864.0868530273438,538.8964233398438,1759.587646484375,1079.7359619140625,777.6246948242188,279.3541564941406,734.133544921875,1138.4737548828125,1185.1849365234375,1114.318359375,1565.814208984375,1025.7840576171875,3313.34130859375,2444.829833984375,1846.358154296875,1716.8883056640625,912.3538208007812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,1464.5069580078125,867.8496704101562,540.5875244140625,1747.8763427734375,1059.02783203125,784.2734985351562,283.0058288574219,733.3123168945312,1153.422607421875,1202.6978759765625,1125.50341796875,1564.0533447265625,1027.4481201171875,3236.28662109375,2462.920166015625,1843.83837890625,1724.664794921875,903.7467041015624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,1477.0081787109375,884.2445678710938,541.8088989257812,1790.1199951171875,1058.8028564453125,775.1314697265625,285.7445678710937,741.5241088867188,1168.371337890625,1218.989013671875,1140.8826904296875,1580.1209716796875,1048.24658203125,3272.54736328125,2544.759033203125,1837.95947265625,1794.653564453125,903.7467041015624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,1473.1883544921875,883.4381713867188,539.5540161132812,1779.6634521484375,1052.5006103515625,772.6382446289062,288.4833679199219,731.6699829101562,1152.6358642578125,1213.287353515625,1114.318359375,1553.70849609375,1014.9688720703124,3263.482421875,2474.11962890625,1849.7171630859373,1806.7503662109373,918.3787841796876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,1486.904296875,894.9952392578125,547.070068359375,1784.2645263671875,1057.902587890625,781.7800903320312,287.5704345703125,730.0275268554688,1162.8638916015625,1232.02197265625,1124.10498046875,1593.9874267578125,1008.3133544921876,3295.211181640625,2473.258056640625,1862.734375,1830.944091796875,920.1002197265624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,1481.0013427734375,893.920166015625,541.2451171875,1802.66748046875,1061.0537109375,787.5978393554688,285.7445678710937,730.8487548828125,1157.3564453125,1232.02197265625,1132.493896484375,1581.6614990234375,1002.4896850585938,3236.28662109375,2476.70361328125,1862.3145751953125,1811.934814453125,912.3538208007812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
