,6758.T,6861.T,8035.T,6702.T,6723.T,6645.T,6503.T,6301.T,6367.T,6594.T,6920.T,6954.T,6971.T,6976.T,4063.T,6981.T,6770.T,6752.T,6753.T,6857.T,"('6758.T', '6758.T')","('6861.T', '6861.T')","('8035.T', '8035.T')","('6702.T', '6702.T')","('6723.T', '6723.T')","('6645.T', '6645.T')","('6503.T', '6503.T')","('6301.T', '6301.T')","('6367.T', '6367.T')","('6594.T', '6594.T')","('6920.T', '6920.T')","('6954.T', '6954.T')","('6971.T', '6971.T')","('6976.T', '6976.T')","('4063.T', '4063.T')","('6981.T', '6981.T')","('6770.T', '6770.T')","('6752.T', '6752.T')","('6753.T', '6753.T')","('6857.T', '6857.T')","('6758.T', '6758.T').1","('6861.T', '6861.T').1","('8035.T', '8035.T').1","('6702.T', '6702.T').1","('6723.T', '6723.T').1","('6645.T', '6645.T').1","('6503.T', '6503.T').1","('6301.T', '6301.T').1","('6367.T', '6367.T').1","('6594.T', '6594.T').1","('6920.T', '6920.T').1","('6954.T', '6954.T').1","('6971.T', '6971.T').1","('6976.T', '6976.T').1","('4063.T', '4063.T').1","('6981.T', '6981.T').1","('6770.T', '6770.T').1","('6752.T', '6752.T').1","('6753.T', '6753.T').1","('6857.T', '6857.T').1"
2021-04-05,2388.81689453125,50920.7265625,14935.8212890625,1539.1673583984375,1226.6060791015625,8341.7060546875,1522.84521484375,2857.098388671875,21248.09765625,6729.94775390625,15863.26171875,5046.15771484375,1596.7105712890625,4906.69189453125,3444.047119140625,2826.885986328125,1302.713623046875,1259.2542724609375,1876.72265625,2566.648193359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,2340.381591796875,49861.296875,14596.572265625,1547.6219482421875,1194.8338623046875,8277.3994140625,1494.544677734375,2813.54736328125,21112.40234375,6626.70654296875,15777.15234375,5036.20263671875,1569.286865234375,4879.97705078125,3464.68603515625,2773.479736328125,1269.7554931640625,1242.894775390625,1817.7730712890625,2542.66064453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,2356.849609375,49083.734375,14528.7197265625,1579.0909423828125,1222.7548828125,8268.2119140625,1500.8336181640625,2812.725830078125,21060.927734375,6693.93408203125,16906.138671875,5009.95849609375,1566.43505859375,5004.6484375,3411.741943359375,2789.86572265625,1257.613037109375,1242.452392578125,1847.7310791015625,2619.42041015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,2305.5087890625,49715.49609375,14705.720703125,1565.000244140625,1208.31298828125,8415.2021484375,1486.907958984375,2811.90380859375,21159.1953125,6749.1552734375,17030.5234375,5066.06689453125,1559.41455078125,5013.55224609375,3477.24853515625,2782.886474609375,1233.3282470703125,1206.1959228515625,1821.638671875,2545.0595703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,2369.442626953125,50356.984375,14670.3212890625,1568.288330078125,1211.2012939453125,8470.322265625,1494.9940185546875,2778.2138671875,21313.603515625,6809.18115234375,17451.5,5085.0712890625,1581.792236328125,4995.74267578125,3537.371826171875,2763.46630859375,1207.308349609375,1218.1341552734375,1853.5294189453125,2590.635498046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,2358.786865234375,49521.109375,14587.72265625,1553.72802734375,1214.089599609375,8185.52880859375,1496.3414306640625,2764.244384765625,21276.171875,6717.94287109375,17221.876953125,4995.478515625,1578.940185546875,4888.8818359375,3426.099609375,2769.534912109375,1166.5445556640625,1215.92333984375,1842.899169921875,2554.654296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,2359.755859375,49686.34375,14587.72265625,1538.22802734375,1219.8665771484375,8213.0888671875,1508.0211181640625,2769.1748046875,21341.681640625,6633.90869140625,16906.138671875,4997.28857421875,1587.4964599609375,4799.83154296875,3411.741943359375,2730.39111328125,1170.8812255859375,1230.9564208984375,1843.8656005859373,2549.857177734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,2361.693115234375,50288.95703125,14723.419921875,1518.9708251953125,1216.0152587890625,8167.15478515625,1489.603271484375,2756.84912109375,21238.736328125,6540.2705078125,17470.634765625,4961.99462890625,1557.8787841796875,4746.40087890625,3405.46044921875,2743.13525390625,1154.4019775390625,1236.704345703125,1858.361328125,2583.439453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,2364.599609375,49880.734375,14437.2724609375,1523.667724609375,1202.5361328125,8194.71484375,1494.544677734375,2779.035400390625,21107.720703125,6621.90380859375,17221.876953125,4917.6513671875,1560.7310791015625,4675.1611328125,3389.30810546875,2744.65234375,1151.7999267578125,1242.01025390625,1857.39501953125,2516.27490234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,2340.381591796875,50347.2734375,14490.369140625,1544.3341064453125,1232.3829345703125,8167.15478515625,1508.9193115234375,2769.99609375,21210.66015625,6701.13623046875,17451.5,4933.03515625,1571.042236328125,4648.44482421875,3409.0498046875,2728.873291015625,1135.321044921875,1243.3367919921875,1800.378173828125,2525.86962890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19,2322.945068359375,50191.76171875,14764.7216796875,1550.9097900390625,1285.3369140625,8185.52880859375,1508.4703369140625,2769.1748046875,21519.486328125,6727.5478515625,18159.51171875,4962.8994140625,1590.787109375,4648.44482421875,3477.24853515625,2758.004150390625,1155.26953125,1245.1053466796875,1817.7730712890625,2552.25537109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
